wavelength,absorbance,,,
6148.40668,0.15025,,,
6140.69224,0.14971,,,
6132.9778,0.1492,,,
6125.26336,0.14874,,,
6117.54893,0.14832,,,
6109.83449,0.14794,,,
6102.12005,0.14759,,,
6094.40561,0.14727,,,
6086.69118,0.14699,,,
6078.97674,0.14676,,,
6071.2623,0.14656,,,
6063.54786,0.14642,,,
6055.83343,0.14638,,,
6048.11899,0.14647,,,
6040.40455,0.14667,,,
6032.69011,0.14695,,,
6024.97568,0.14725,,,
6017.26124,0.14753,,,
6009.5468,0.14781,,,
6001.83236,0.14809,,,
5994.11793,0.14842,,,
5986.40349,0.14878,,,
5978.68905,0.14919,,,
5970.97461,0.1497,,,
5963.26018,0.15036,,,
5955.54574,0.15117,,,
5947.8313,0.15212,,,
5940.11686,0.15327,,,
5932.40243,0.15458,,,
5924.68799,0.15596,,,
5916.97355,0.15729,,,
5909.25911,0.15843,,,
5901.54468,0.15935,,,
5893.83024,0.16009,,,
5886.1158,0.16071,,,
5878.40136,0.16126,,,
5870.68693,0.16175,,,
5862.97249,0.16222,,,
5855.25805,0.16276,,,
5847.54361,0.1634,,,
5839.82918,0.16414,,,
5832.11474,0.16497,,,
5824.4003,0.16582,,,
5816.68586,0.16665,,,
5808.97143,0.16743,,,
5801.25699,0.16818,,,
5793.54255,0.16892,,,
5785.82811,0.16957,,,
5778.11368,0.17002,,,
5770.39924,0.17024,,,
5762.6848,0.17026,,,
5754.97036,0.17018,,,
5747.25593,0.1701,,,
5739.54149,0.16999,,,
5731.82705,0.16977,,,
5724.11261,0.1694,,,
5716.39818,0.16887,,,
5708.68374,0.16822,,,
5700.9693,0.16755,,,
5693.25486,0.16695,,,
5685.54043,0.16645,,,
5677.82599,0.166,,,
5670.11155,0.16554,,,
5662.39711,0.16501,,,
5654.68268,0.16444,,,
5646.96824,0.16386,,,
5639.2538,0.16328,,,
5631.53936,0.16272,,,
5623.82493,0.16223,,,
5616.11049,0.16182,,,
5608.39605,0.16146,,,
5600.68161,0.16116,,,
5592.96718,0.16091,,,
5585.25274,0.16065,,,
5577.5383,0.16039,,,
5569.82386,0.16011,,,
5562.10943,0.1598,,,
5554.39499,0.15947,,,
5546.68055,0.15917,,,
5538.96611,0.15891,,,
5531.25168,0.15867,,,
5523.53724,0.15838,,,
5515.8228,0.15809,,,
5508.10836,0.15778,,,
5500.39393,0.15739,,,
5492.67949,0.15704,,,
5484.96505,0.15681,,,
5477.25061,0.15648,,,
5469.53618,0.15598,,,
5461.82174,0.15547,,,
5454.1073,0.15485,,,
5446.39286,0.15404,,,
5438.67843,0.15329,,,
5430.96399,0.15282,,,
5423.24955,0.15236,,,
5415.53511,0.15169,,,
5407.82068,0.15115,,,
5400.10624,0.15083,,,
5392.3918,0.1504,,,
5384.67736,0.14993,,,
5376.96293,0.14969,,,
5369.24849,0.14962,,,
5361.53405,0.14936,,,
5353.81961,0.14873,,,
5346.10518,0.14823,,,
5338.39074,0.14842,,,
5330.6763,0.14917,,,
5322.96186,0.14997,,,
5315.24743,0.15053,,,
5307.53299,0.15101,,,
5299.81855,0.15166,,,
5292.10411,0.1526,,,
5284.38968,0.15394,,,
5276.67524,0.15553,,,
5268.9608,0.15715,,,
5261.24636,0.15898,,,
5253.53193,0.16113,,,
5245.81749,0.16361,,,
5238.10305,0.16613,,,
5230.38861,0.16845,,,
5222.67418,0.17067,,,
5214.95974,0.17265,,,
5207.2453,0.17436,,,
5199.53086,0.17598,,,
5191.81643,0.17735,,,
5184.10199,0.17842,,,
5176.38755,0.17931,,,
5168.67311,0.18,,,
5160.95868,0.1805,,,
5153.24424,0.18094,,,
5145.5298,0.18131,,,
5137.81536,0.18161,,,
5130.10093,0.18189,,,
5122.38649,0.18217,,,
5114.67205,0.18257,,,
5106.95761,0.18321,,,
5099.24318,0.1841,,,
5091.52874,0.18525,,,
5083.8143,0.18671,,,
5076.09986,0.18844,,,
5068.38543,0.19028,,,
5060.67099,0.19203,,,
5052.95655,0.19355,,,
5045.24212,0.19478,,,
5037.52768,0.19573,,,
5029.81324,0.19647,,,
5022.0988,0.19709,,,
5014.38437,0.19775,,,
5006.66993,0.1986,,,
4998.95549,0.19985,,,
4991.24105,0.20168,,,
4983.52662,0.20418,,,
4975.81218,0.20737,,,
4968.09774,0.21126,,,
4960.3833,0.21583,,,
4952.66887,0.22104,,,
4944.95443,0.2268,,,
4937.23999,0.23299,,,
4929.52555,0.23951,,,
4921.81112,0.24628,,,
4914.09668,0.25323,,,
4906.38224,0.26026,,,
4898.6678,0.26723,,,
4890.95337,0.27404,,,
4883.23893,0.28063,,,
4875.52449,0.28687,,,
4867.81005,0.29263,,,
4860.09562,0.29787,,,
4852.38118,0.30262,,,
4844.66674,0.30701,,,
4836.9523,0.3111,,,
4829.23787,0.31491,,,
4821.52343,0.31844,,,
